,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
6075,ඔහු ඔවුන්ගෙන් කී දෙනෙක් ඝාතනය කළාද?,දෙක.
6076,ඔබට ලැජ්ජාවක් නැත.,තවමත් නෑ. නමුත් මම බලාපොරොත්තු වෙනවා.
6077,නමුත් අපි ඔවුන්ගේ මුදල් සහ සැපයුම් ගත්තොත් ...,හරියටම.
6078,"හරි, පදිංචි වෙන්න. මේ සල්ලි ඔක්කොම අපේ නෙවෙයි.","හොඳයි, නැහැ, ජෙසී, ඒක බැංකුවේ. ඒකයි අපිට ඒක හොරකම් කරන හැම කරදරයකටම යන්න වුණේ. ඔබ එය ඔහුට පැහැදිලි කරන්න."
6079,"හොඳයි, නැහැ, ජෙසී, ඒක බැංකුවේ. ඒකයි අපිට ඒක හොරකම් කරන හැම කරදරයකටම යන්න වුණේ. ඔබ එය ඔහුට පැහැදිලි කරන්න.","අපි මෙයින් ටිකක් ගත යුතුයි, ලිබර්ටියේ අපේ අසල්වැසියන්ට දෙන්න. එතන ගොඩක් අයට රිදෙනවා."
6080,"ජේම්ස්-යංගර් කල්ලිය ලෙස තමන්ව හඳුන්වන නීති විරෝධීන් නගරයෙන් පිටතට යාමට වෙඩි තැබූ අතර, ෂෙරිෆ් සහ තවත් නගර වැසියන් තිදෙනෙකු තුවාල ලැබීය.",හේයි!
6081,හේයි!,බැංකු නිලධාරීන් අලාභය ඩොලර් පනස් දහසක් ලෙස ගණන් බලා ඇත.
6082,"හරි, කට්ටිය, මම හිතන්නේ අපි දන්නවා මේක වෙන්නේ කොහොමද කියලා ...",එක් ව්‍යාජ පියවරක් සහ මම ඔබේ හිස ගසා දමමි!
6083,සමාව ඉල්ලන්නද?,"ඔයාට මාව ඇහුණා, ජෙසී. ඔයා දන්නවා මට කොච්චර පිස්සුද කියලා!"
6084,"මෙය ""අවශ්‍ය!"" පෝස්ටර් නේද.",ඔව්. මම පැහැදිලිවම මංකොල්ලකෑම්වලදී මිනිසුන්ගේ සිත් තුළ කැපී පෙනෙන්නේ නැත.
6085,මෙතන පොඩි ගෞරවයක් ගන්න යාලුවෙක් කරන්න ඕන දේවල්...,ඔබ හොඳ පිරිමි චරිතයක්.
6086,ඔබ හොඳ පිරිමි චරිතයක්.,"අහන්න, ජෙසී, අපිට ප්‍රශ්නයක් තියෙනවා. එය කෝල් ය."
6087,"අහන්න, ජෙසී, අපිට ප්‍රශ්නයක් තියෙනවා. එය කෝල් ය.",ඔහු මෑතකදී විනාකිරි වලින් පිරී ඇත.
6088,ඔහු මෑතකදී විනාකිරි වලින් පිරී ඇත.,ඔහු රැකියාවක් සැලසුම් කරයි.
6089,ඔහු රැකියාවක් සැලසුම් කරයි.,කුමක් ද?
6090,කුමක් ද?,"අහන්න, ඔහු මගේ සහෝදරයා, මට කරදරයක් ආරම්භ කිරීමට අවශ්‍ය නැත ..."
6091,"අහන්න, ඔහු මගේ සහෝදරයා, මට කරදරයක් ආරම්භ කිරීමට අවශ්‍ය නැත ...",මට කියන්න.
6092,කුමක් ද?,"ඔබ, ඌරු ඌරු ඌරු මස් බැරලයක්. මෙන්න piggy piggy!"
6093,ඔයා මොකද කියන්නේ කොල්ලා?,මම හිතන්නේ මම ඔබව හඳුනනවා.
6094,මම හිතන්නේ මම ඔබව හඳුනනවා.,කෙසේද?
6095,කෙසේද?,මම හිතන්නේ මම පිටිපස්සෙන් එනකොටම ඔයා ඉස්සරහ දොරෙන් යනවා මම දැක්කා.
6096,ඔයා දැන් කටවහගෙන ඉන්න පුතේ.,"නැහැ, ඇත්තටම. ඔබේ බිරිඳ කීවේ ඇයට උදව්වක් අවශ්‍යයි, ඔබ තරබාරු නිසා ඔබට සොයා ගැනීමට නොහැකි වූ නිසා --"
6097,'ඔයා මෙතනට ආපු වෙලාව හරි යාලුවනේ.,වෙන්නේ කුමක් ද?
6098,"මා සමඟ පදින්න, මස්සිනා?",මට ඇවිදීම භාවිතා කළ හැකිය.
6099,මට ඇවිදීම භාවිතා කළ හැකිය.,"ඔබම ගැලපෙන්න. අපි අශ්වයන් ටිකක් පාරේ ඔබ එනතුරු බලා සිටිමු. අපි පදිමු, රේන්ජර්ස්!"
6100,කොහෙද කොල්ලෝ යන්නේ?,එතන ආපහු යැන්කීස් ඉන්නවා. ගොඩක් ඒවා.
6101,"ගෙදර, කොල්ලෝ. අපේ ගොවිපල වෙත ආපසු.",ඉරිඟු සිටුවීම. බඩ ඉරිඟු අස්වැන්න. වසරින් වසර.
6102,"ඔබේ උකුලෙන් අතහරින්න, කෝල්.",ඔයා බය නෑ නේද?
6103,ඔයා බය නෑ නේද?,"ඔබේ සටන් තෝරන්න, මස්සිනා. ඔයා මට ඒක ඉගැන්නුවා."
6104,දැන් නොවේ.,ඔබට ඇති වරද කුමක්ද?
6105,ඔබට ඇති වරද කුමක්ද?,අපිට මේ සෝනෝෆාබිච්ලාව මරන්න සිද්ධ උනොත් මම කැමති නෑ ඒ අය අපි එනවා දකින්න.
6106,ඔබ කවදා හෝ සෙරල්ඩාගේ දෑස් දැක තිබේද?,ඇයට ඒවායින් දෙකක් ලැබුණා.
6107,ඇයට උඩු රැවුලක් තිබුණා.,ඇය යුරෝපීය විය!
6108,ඇය යුරෝපීය විය!,"හරි, සන්සුන් වෙන්න. සාඩි කාන්තාවක් බව මම එකඟ වෙමි -"
6109,උදව්වට ස්තුතියි.,ඔබ අපේ ගොවිපලේ කළ සියල්ලට පසු? ඔයාට ඒක එපා වෙලා නේද ජෙසී?
6110,ඔබ අපේ ගොවිපලේ කළ සියල්ලට පසු? ඔයාට ඒක එපා වෙලා නේද ජෙසී?,"යුද්ධය? මොකක්ද, ඔයාට පිස්සුද? ඒකෙන් මට මගහැරුණු දේවල් තියෙනවා."
6111,"යුද්ධය? මොකක්ද, ඔයාට පිස්සුද? ඒකෙන් මට මගහැරුණු දේවල් තියෙනවා.",එය උද්වේගකර විය.
6112,එය උද්වේගකර විය.,නමුත් එය මුළු මිනිස් ඝාතනයක් විය. අපි එය මග හැරිය යුත්තේ ඇයි?
6113,"අපි ඒකට දක්ෂ නිසාද? අපාය, අපි ඒකට නියමයි. ජෙසී, මම මේක කිව්වා කියලා කාටවත් කියන්න එපා, මොකද මම මේ නගරයේ ඉන්න අමාරුම මිනිහා කියලා හැමෝම දන්නවා, ඒත් ඔයා ඔය තුවක්කු තියෙන එක භයානක සොනොෆබිච් කෙනෙක්.",ඔව්.
6114,"මේක ආරවුලක් නෙවෙයි යුද්ධයක්. එයාලට අපිට වඩා පිරිමි ඉන්නවා. අපි රහස් පරීක්ෂකයින්ව මරනවා, ඔවුන්ට දවසකින් ඔවුන්ව ආදේශ කරන්න පුළුවන්.","ඉතින් අපි මොකද කරන්නේ, ජෙනරාල් ලී?"
6115,"ඉතින් අපි මොකද කරන්නේ, ජෙනරාල් ලී?","හරියට යුද්දෙදි වගේ. ඔවුන්ගේ සැපයුම් මාර්ගවලට හිරිහැර කරන්න. අපි රේල් පාරේ මිනිස්සු මරනවා, ඔවුන් ගණන් ගන්නේ නැහැ."
6116,මම පළමු කාර්යය තෝරා ගනිමි! ඒ කියන්නේ... මම දන්න ගෑනු ළමයෙක් බැංකුවේ ඉන්නවා. දුම්රිය මාර්ගය එහි මුදල් තබා ඇති නගර ලැයිස්තුවක් ඇයට ලබා ගත නොහැකි දැයි බලන්න.,"පරිපූර්ණ, කෝල්."
6117,"පරිපූර්ණ, කෝල්.",අපි පදිමු.
6118,ජේම්ස්-යංගර් කල්ලිය.,සමාවන්න.
6119,සමාවන්න.,ආයේ එහෙම වෙන්න දෙන්න එපා.
6120,මට හත්දාහක් ලැබුණා.,මට තුනක් ලැබුණා.
6121,"බලන්න, ෆ්‍රෑන්ක් මේ ගැන දක්ෂයි.",ඒ පොත් ඔක්කොම කියෙව්වා කියලා ඒ ලොකු වචන ඔක්කොම දන්න නිසාම එයා දක්ෂයෙක් වෙන්නේ නැහැ.
6122,එය බැංකුවක් නොවේ.,එය වඩා හොඳයි. එය ඉදිකිරීම් ගබඩාවක්. ඔවුන් සතුව ශක්තිමත් පෙට්ටිය සහ උණ්ඩ සහ පුපුරණ ද්‍රව්‍ය අපට රැගෙන යාමට ඇත. ඒකෙන් අපිට ලොකු වැඩක් භාරගන්න පුළුවන්.
6123,අඟහරුවාදා දැඩි ආයුධ සන්නද්ධ මිනිසුන් විසි දෙනෙකුගෙන් යුත් කල්ලියක් විසින් ෆිඩලිටි බැංකුව සහ භාරය කොල්ලකෑවා.,විස්ස?!
6124,"ජෙසී, අපිට වචනයක් කියන්න තියෙනවා.","ෂුවර්, මස්සිනා."
6125,"ෂුවර්, මස්සිනා.","සියලුම පෝස්ටර් සහ පුවත්පත් මෙම පොකුර හඳුන්වන්නේ ""ජේම්ස්-යංගර් කල්ලිය"" යනුවෙනි."
6126,"සියලුම පෝස්ටර් සහ පුවත්පත් මෙම පොකුර හඳුන්වන්නේ ""ජේම්ස්-යංගර් කල්ලිය"" යනුවෙනි.",ඔව්.
6127,ඔව්.,"ඇයි අපි ""යංගර්-ජේම්ස් කල්ලිය"" නොවන්නේ? මම කිව්වේ මෙතන ඉන්නේ මල්ලිලා තුන්දෙනෙක් සහ ජේම්ස් අයියලා දෙන්නෙක් විතරයි."
6128,මේ හැම ප්‍රසිද්ධියක්ම හඹා යෑම ඔබේ වරදක්.,"ඉන්න, ඉන්න, අපි හැමෝම දන්නවා බොබ් කල්ලියේ වැදගත් කොටසක්."
6129,එය තවමත් විශාලතම ලකුණු වනු ඇත.,කුමක් වනු ඇත්ද?
6130,"විහිලු සුවඳක්, එය පත්‍රයේ සඳහන් වේ.","ඔබ ඒ ගැන මුලින්ම කියෙව්වා නම්, ඔබට කිසිදු ගැටළුවක් ඇති නොවේ."
6131,"ඔබ ඒ ගැන මුලින්ම කියෙව්වා නම්, ඔබට කිසිදු ගැටළුවක් ඇති නොවේ.",ඔයා කියන්නේ කුමක් ද?
6132,ඔයා කියන්නේ කුමක් ද?,"මම ඔබ තරම් බැංකු කොල්ලකෑවා! මම මේ නගරය දනිමි, මම මෙම බැංකුව ද දනිමි, එය පහසු කාර්යයක් බව මම කියමි."
6133,"මම ඔබ තරම් බැංකු කොල්ලකෑවා! මම මේ නගරය දනිමි, මම මෙම බැංකුව ද දනිමි, එය පහසු කාර්යයක් බව මම කියමි.",වගකිවයුත්තන් කවුදැයි ඔබට අමතක වේ --
6134,ලස්සනයි.,දැන් එක පාරක් අපේ එකාට අදහසක් එනවා --
6135,දැන් එක පාරක් අපේ එකාට අදහසක් එනවා --,නරක අදහසක්.
6136,නරක අදහසක්.,මම අපිව යුද්ධයෙන් ජය ගත්තා.
6137,මම අපිව යුද්ධයෙන් ජය ගත්තා.,ඒ වගේම සාමකාමී කාලයේ එල්ලා මැරුවා.
6138,ඒ වගේම සාම කාලයකදී එල්ලා මැරුවා.,ඒක තමයි.
6139,"මම හොඳම සොල්දාදුවා, ජෙසී.",අනික මම තමයි වඩා හොඳ නීති විරෝධී.
6140,තවමත් මාළු සුවඳයි.,එහෙනම් මට ප්‍රසංගය පවත්වන්න දෙන්න ජෙනරල් ලී.
6141,හොඳයි. අපි මේ බැංකුවට ගැහුවා.,වියදම් කරන්න සල්ලි ලැබුනම ඔයා හිනා වෙයි මස්සිනා. කෝල් යංගර් හැමෝවම පොහොසත් කරන්න යනවා!
6142,අපරාදේ!,උගුලක්.
6143,"හොඳයි, ඔබ මෙහි විවේක ගන්න.","ක්ලෙල්, ටොම්, ගොස් ලිබර්ටි හි ඩොක් මිම්ස් ලබා ගන්න!"
6144,"බොබ්, වෙළුම් පටි කිහිපයක් ඉරා දමන්න.",මට විස්කි ටිකක් දෙන්න.
6145,අපි ඔවුන්ට මේ සඳහා ගෙවන්නෙමු.,මම එළියේ.
6146,මම එළියේ.,"කුමන?! අපි අවුරුද්දක් තිස්සේ ඔබ පසුපස හඹා යමු, දැන් අපේ ලේ වැගිරුණු පසු, ඔබ ඉවත් වෙනවාද?!"
6147,"කුමන?! අපි අවුරුද්දක් තිස්සේ ඔබ පසුපස හඹා යමු, දැන් අපේ ලේ වැගිරුණු පසු, ඔබ ඉවත් වෙනවාද?!",ඊලඟට කවුද? ඔබට? මට? බොබ්?
6148,ඔයා නැතුව පාලුයි මස්සිනා.,ඔයාටත් පාලුයි මස්සිනා.
6149,"ඔයා දන්නවනේ, ඔයා අහුවෙනවා, අපිව දාලා ගියාට පස්සේ, සමහරු හිතුවා --","Pff. අපි විඳදරාගත් සෑම දෙයක්ම, සිතුවිල්ල කිසි විටෙකත් මගේ මනස හරහා ගියේ නැත."
6150,ඔබ මේ සියලු රියදුරන් ලබා ගත්තේ කොහෙන්ද?,අපි එහෙම කළේ නැහැ. සෙරල්ඩා කළා. ඔබේ බිරිඳ අපරාධකාරියක් බවට පත් කරයි.
6151,"ඔබ බවට පත් වූ සමහර ඉන්දියානු ට්රැකර්, ටොම්.",ඔබට Bluecoats සොයා ගැනීමට ඔබ මට ගෙවනවා. ඔවුන් ඉන්නවා.
6152,"අපි නැවත මිසූරි වෙත යමු, කුඩා ජෙසී ජේම්ස් මුළු යූනියන් හමුදාවටම තනියම ආරෝපණය කළ ආකාරය ගැන එම ගාලුවන්ට කියන්නට පටන් ගනිමු!",ඔබ කොමන්චේ මෙන් පදින්න.
6153,"ටොම්, ඔබ වෙන්කරවා ගැනීමට පෙර අපගේ පැතිරීම නතර නොකරන්නේ ඇයි? ඔබට අවශ්‍ය නම්, අපට ඔබ වෙනුවෙන් යම් වැඩක් තිබෙන බව සිතන්න.","හ්ම්. නැවත වෙන්කිරීම් වෙත ගොස් කුණු පැල්පතක මත් වන්න, නැතහොත් ඔබ වෙනුවෙන් වැඩ කරන්න..."
6154,"හ්ම්. නැවත වෙන්කිරීම් වෙත ගොස් කුණු පැල්පතක මත් වන්න, නැතහොත් ඔබ වෙනුවෙන් වැඩ කරන්න...",හොඳින්?
6155,හොඳින්?,මම හිතනවා...
6156,කැනන් හෝ ගැට්ලිං?,දෙකම හොඳයි.
6157,දෙකම හොඳයි.,මම එකෙක්ට ගැහුව ගමන් අනිත් කෙනා දැනගෙන අපිට ගහයි.
6158,කුමක්ද --,"නගරයේ බලකොටුවක් විය යුතුය. අපි ඉන්නේ අල්ලපු ප්‍රදේශයක, කොල්ලෝ."
6159,මම හිතන්නේ ඔවුන්ගේ වීදුරු වලින් එකක්.,"කුමන එක, දකුණට හෝ වම?"
6160,"කුමන එක, දකුණට හෝ වම?",දුඹුරු එක.
6161,"අනේ ස්වාමීනි, බන්ටිගේ ඩාන්ස් හෝල් කෙල්ල...",සාඩි මිනිසෙක් නොවේ!
6162,"ඔබ දැන් කීවේ කුමක්දැයි මම නොදනිමි, නමුත් එය ඇත්තෙන්ම ලස්සනයි.",ෂේක්ස්පියර්. ඔහු යුරෝපීයයෙක්.
6163,ෂේක්ස්පියර්. ඔහු යුරෝපීයයෙක්.,අහ්.
6164,අවජාතකයෝ! නැවත මෙහි පැමිණ මට මුහුණ දෙන්න!,බාල්දි ගන්න!
6165,"හේයි! අපි යමක් තීරණය කරමු, එපමණයි! අපි දිගු ගමනක් සඳහා මෙහි සිටිමු, සහ මගේ සහ ජෙසීගේ මෙම අදහස අපගේ නින්දේ දී වෙඩි උණ්ඩයක් අප වෙතට රිංගා ගන්නා සමහර ගොවියන් ගැන කරදර නොවී සැඟවීමට තවත් ස්ථාන ලබා දීමට උපකාරී වනු ඇත. අපිට හිතන්න වෙනවා...",උපායමාර්ගිකව.
6166,උපායමාර්ගිකව.,#NAME?
6167,ජෙසී.,"ඔහ්, ඔබ භාරද? අපි තවදුරටත් හවුල්කරුවන් නොවේ, ජෙසී? ඔබ කෝල් යංගර්ට පදින්නේ කොහේද සහ කවදාද යන්න කියන්නද?"
6168,"ඔහ්, ඔබ භාරද? අපි තවදුරටත් හවුල්කරුවන් නොවේ, ජෙසී? ඔබ කෝල් යංගර්ට පදින්නේ කොහේද සහ කවදාද යන්න කියන්නද?","කෝල්, එයා ඒක අදහස් කළේ නැහැ."
6169,තවත් දුසිමක් ආපසු.,ඔවුන් අපව ඉක්මන් කරයිද?
6170,ඔවුන් අපව ඉක්මන් කරයිද?,අපි දුවනවා නම් ඒවා රක්ෂණයක් විතරයි.
6171,සේප්පුව. දැන්.,"ඇත්ත වශයෙන්! අහ්, සර්?"
6172,"ඇත්ත වශයෙන්! අහ්, සර්?",කුමක් ද?
6173,කුමක් ද?,ජෙසී ජේම්ස් කොහෙද?
6174,ජෙසී ජේම්ස් කොහෙද?,මෙන්න තරුණ කල්ලිය!
6175,ඩැම්න් සේෆ් විවෘත කරන්න!,හරි හරි හරි. ජෙසී ජේම්ස් කවදාවත් මිනිස්සුන්ට කෑ ගැහුවේ නෑ...
6176,ඔයා ලොකු නීති කාරයෙක්ද?,"ඔව්, ඉන්ජුන්. ඔයාට ඕන කුමක් ද?"
6177,"ඔව්, ඉන්ජුන්. ඔයාට ඕන කුමක් ද?",ශාන්ත ලුයිස්හි මහා නායක මා එවන්න.
6178,ශාන්ත ලුයිස්හි මහා නායක මා එවන්න.,දිස්ත්රික් මාර්ෂල්
6179,ශාන්ත ලුවීගෙන්ද?,"හෝ-යාහ්. ඔහු කියනවා Carville හි Big Lawman ට කියන්න, නරක මිනිසා ජෙසී ජේම්ස්, ඊගල් රොක් අසල, මහා ගංගාවට ඉහළින්, රයිසින් සන් දෙසට ගමන් කරන බව."
6180,"හෝ-යාහ්. ඔහු කියනවා Carville හි Big Lawman ට කියන්න, නරක මිනිසා ජෙසී ජේම්ස්, ඊගල් රොක් අසල, මහා ගංගාවට ඉහළින්, රයිසින් සන් දෙසට ගමන් කරන බව.",නැගෙනහිර? ගඟට ඉහළින් ඊගල් පාස් වෙත ගමන් කරනවාද?
6181,නැගෙනහිර? ගඟට ඉහළින් ඊගල් පාස් වෙත ගමන් කරනවාද?,හෝ-යාහ්!
6182,සැලුන් එකට යන්න. නමුත් ඕනෑවට වඩා මත් වෙන්න එපා!,මට ගින්දර ගොඩක් ලැබෙනවා --
6183,මම දන්නවා එය ගෙවී ගිය බැංකු නිවාඩුවක් නොවන බව!,"ඔබ හරි, සර්."
6184,"ඔබ හරි, සර්.",එහෙනම් ඇයි මට එතනට යන්න බැරි?
6185,එහෙනම් ඇයි මට එතනට යන්න බැරි?,අපි එය කොල්ලකෑම නිසා.
6186,අපි එය කොල්ලකෑම නිසා.,ඔහ්. ඇයි නිකමටවත් කිව්වේ නැත්තේ?
6187,ඔහ්. ඇයි නිකමටවත් කිව්වේ නැත්තේ?,ඒක රහසක්.
6188,ඒක රහසක්.,හොඳයි. මම මෙතන ඉන්නම්.
6189,හොඳයි. මම මෙතන ඉන්නම්.,මම එය අගය කරමි.
6190,කුමක්ද --,එය කුමක් ද?
6191,එය කුමක් ද?,ඕල්ඩ් මෑන් ටකර් බැංකුවෙන් පිටත නිහඬව සිටියි.
6192,ඕල්ඩ් මෑන් ටකර් බැංකුවෙන් පිටත නිහඬව සිටියි.,නිසා?
6193,නිසා?,ඕල්ඩ් මෑන් ටකර් සෑම කෙනෙකුටම කෑගසන්නේ නැති බව ඔබ කවදා හෝ දැන සිටියේද?
6194,ඔයා කොහෙද හිටියේ?,මම ඔබව ආවරණය කළා. පිටුපස සිට.
6195,මම ඔබව ආවරණය කළා. පිටුපස සිට.,ජරාව.
6196,#NAME?,මගේ පුංචි වෙබ් එහෙම කළාද?
6197,මගේ පුංචි වෙබ් එහෙම කළාද?,"Pff. ඔහු තම අශ්වයා අපේ හිසට ඉහළින් පැන, ඔවුන්ට පහර දුන්නේ කුමක්දැයි දැන ගැනීමට පෙර යූනියන් සොල්දාදුවන් දුසිමක් මරා දැමීය."
6198,වෙබ් සටන් කරලා මැරුණාද?,වීරයෙකු ලෙස මිය ගියේය.
6199,කොල්ලෝ...,ගෙදර යන්න ඩොක්ටර්. ඔවුන් තවදුරටත් ලිබර්ටි කොල්ලන්ව එල්ලා මරන්නේ නැත.
6200,මොකද කියන්නේ සර්?,යන්න. ඔබ සැවොම බොහෝ දුරට සුවය ලබා ඇත.
6201,ඔබ ඕනෑම අවස්ථාවක සාදරයෙන් පිළිගනිමු!,"ඔව්, ඒත් මම හිතුවා, මට එන්න පුළුවන් කියලා, ඊට පස්සේ Zeeව එලියට ගන්න. අසල යම් ස්ථානයක්. වෙනත් අය සමඟ. අසල. මෙහි. නමුත් පිටතට."
6202,"ඔව්, ඒත් මම හිතුවා, මට එන්න පුළුවන් කියලා, ඊට පස්සේ Zeeව එලියට ගන්න. අසල යම් ස්ථානයක්. වෙනත් අය සමඟ. අසල. මෙහි. නමුත් පිටතට.","ඒක මට හොඳයි, ජෙසී."
6203,ආයේ මේකෙන් පටන් ගන්න එපා තාත්තේ.,"සෙරල්ඩා, එය අහම්බයක් නොවේ. රේල් පාරේ මිනිස්සු ඒ හරහා එනවා ඉඩමක් ගන්න කියලා. කවුරුත් විකුණන්නේ නැහැ. එතකොට ගොවිපල අයිති මිනිස්සුන්ව රාජද්‍රෝහීකමට එල්ලන්න පටන් ගන්නවාද?"
6204,එයාට සනීප වෙයි නේද තාත්තේ?,උණ්ඩය පිරිසිදුව පිටතට පැමිණි නමුත් ඔහුට සම්පූර්ණ ලේ ගොඩක් අහිමි විය. යාච්ඤා කිරීමෙන් හානියක් සිදු නොවනු ඇත.
6205,ඔවුන් ගිහින්. ඔයා කුමක් ද --,මම ඔවුන්ව රැවැට්ටුවා මම තනිවෙලා කියලා.
6206,මම ඔවුන්ව රැවැට්ටුවා මම තනිවෙලා කියලා.,"හොඳයි, මම බලාපොරොත්තු වෙනවා පිරිමි ළමයා සමත් වෙයි කියලා. අපි උදේ දැනගත යුතුයි."
6207,"හොඳයි, මම බලාපොරොත්තු වෙනවා පිරිමි ළමයා සමත් වෙයි කියලා. අපි උදේ දැනගත යුතුයි.",මම හිතන්නේ ඔහුට දැනටමත් හොඳක් දැනෙනවා.
6208,ඔහු සිතන්නේ මෙය යම් ආකාරයක ක්‍රීඩාවක් බවයි!,"මටත් දුකයි, සී, ඒත් ජෙසී සහ කෝල් දන්නවා එයාලා මොකද කරන්නේ කියලා. මට විශ්වාසයි ඔවුන් ඔවුන්ගේ වාසනාව නොතබන බව."
6209,මම අර ගැට්ලිංට ගහන්න ඔළුව උස්සපු හැම වෙලාවකම ඌට වෙඩි තියන්න හදනවා.,ඉතින් අපට සැලැස්මක් තිබේද?
6210,ඔබට ප්‍රමාණවත් අවධානය වෙනතකට යොමු කරනවාද?,Pff. ඔවුන් ඔබව දුටුවේ නැති තරම්ය.
6211,Pff. ඔවුන් ඔබව දුටුවේ නැති තරම්ය.,ඉතින් ඔයා කියනවා මට එයාලගේ අවධානය දිනාගන්න මීට වඩා දෙයක් කරන්න තිබුණා කියලා.
6212,ඉතින් ඔයා කියනවා මට එයාලගේ අවධානය දිනාගන්න මීට වඩා දෙයක් කරන්න තිබුණා කියලා.,ම්ම්ම්ම්.
6213,ම්ම්ම්ම්.,ආදි?
6214,ආදි?,"ඔබට එම විශාල, නම්‍යශීලී කාන්තාවගේ පාස්කු ඉරිදා තොප්පියකින් එකක් පැළඳිය හැකිය."
6215,"ඔබට එම විශාල, නම්‍යශීලී කාන්තාවගේ පාස්කු ඉරිදා තොප්පියකින් එකක් පැළඳිය හැකිය.",එය හැඟීමක් ඇති කරවනු ඇත.
6216,එය හැඟීමක් ඇති කරවනු ඇත.,මම හිතනවා.
6217,මම හිතනවා.,"බලන්න, ඒක ඔයාගේ ප්‍රශ්නයක්, ෆ්‍රෑන්ක්. ඔබ දේවල් හදුනාගෙන අවසන් වන විට, මම දැනටමත් එය කර අවසන්ය."
6218,"බලන්න, ඒක ඔයාගේ ප්‍රශ්නයක්, ෆ්‍රෑන්ක්. ඔබ දේවල් හදුනාගෙන අවසන් වන විට, මම දැනටමත් එය කර අවසන්ය.","නැහැ, ජෙසී, ඔබේ ප්‍රශ්නය මම එය හදුනාගෙන අවසන් කිරීමට පෙර ඔබ නිතරම දේවල් කරන එකයි."
6219,වෙබ් මැරිලා.,මම ගණන් කළා.
6220,මම ගණන් කළා.,අපාය යුද්ධයක්.
6221,අපාය යුද්ධයක්.,මට විශ්වාසයි ඒ වෙලාවේ ඒක හොඳ අදහසක් වගේ.
6222,"හෙලෝ, ලිබර්ටි මිසූරා!","මේ මුළු කාලයම සෑදලයේ ... අපි ගොවිපලට යමු, මම මේ අමන අශ්වයාට වෙඩි තියන්න යන්නේ ප්‍රතිපත්තිමය වශයෙන්."
6223,මෙම නගරයට සිදුවූ එකම අනතුර Web Mimms නොවන බව පෙනේ.,"අපි Doc's වෙත යාම හොඳය, මෙහි සිදුවන්නේ කුමක්දැයි බලන්න."
6224,"ෆ්‍රෑන්ක්, ඔයාට කියන්න දෙයක් නැද්ද?",ඔයා හොඳින් ඉන්නවා.
6225,ඔයා හොඳින් ඉන්නවා.,"Zee, අපිට ඔයාටයි ඔයාගේ තාත්තටයි කතා කරන්න තියෙනවා."
6226,ඇයි... ඔහු ගැට්ලිං තුවක්කුව සහ කාලතුවක්කුව තනිවම බිමට ගත්තේය.,අපේ ජීවිත බේරුවා ඩොක්ටර්. Web Mimms නැත්නම් ලිබර්ටි කොල්ලො කවුරුත් ගෙදර එන්නෙ නෑ ඩොක්ටර්. දෙවියන්ගේ අවංක සත්‍යය.
6227,අපි හිතුවේ ගෙදර එන එක විතරයි. මම දිවුරලා කිව්වා මාව ආපහු මගේ ගොවිපළෙන් එළියට දාන්න හදන ඕනම කෙනෙක්ව මරනවා කියලා. මට නවතින්න රේල් පාරත් එක්ක යුද්ධ කරන්න වුණොත් මගෙන් හොඳයි.,මේ ගැන සිතන්න. අපි නිකම්ම නිකන් කතන්දරයක් හදාගෙන ඒකේ එල්බ ගත්තොත් අපි ඔක්කොම හරි.
6228,මේ ගැන සිතන්න. අපි නිකම්ම නිකන් කතන්දරයක් හදාගෙන ඒකේ එල්බ ගත්තොත් අපි ඔක්කොම හරි.,ඔවුන් විශ්වාස කරන්න යන්නේ මොන වගේ කතාවක්ද?
6229,ඒක නිකන් වැඩ කරන්න පුළුවන්.,"සමහර විට, සමහර විට ..."
6230,ලොකු සහ වැඩිහිටි?,ඔයාට දැන් කට වහගෙන ඉන්න පුළුවන්.
6231,ඔයාට දැන් කට වහගෙන ඉන්න පුළුවන්.,ඔබ චමත්කාරයෙක්.
6232,ඔබ චමත්කාරයෙක්.,මම දිවුරනවා ඔයාගේ නින්දේදී මම ඔයාට වෙඩි තියන්නම් කියලා.
6233,මම දිවුරනවා ඔයාගේ නින්දේදී මම ඔයාට වෙඩි තියන්නම් කියලා.,"මීළඟ වතාවේ ""තරබාරු හා තෘප්තිමත්"" උත්සාහ කරන්න."
6234,ඇය තවමත් යේසුස් සමඟ කතා කරයි.,මට කනස්සල්ලට පත්වන දෙය නම් යේසුස් නැවත කතා කිරීමයි.
6235,#NAME?,"ඔබේ Zee? හ්ම්. ""කාන්තාවන්ගේ ඇස්වලින් මෙම ධර්මය මම ලබා ගත්තෙමි: ඔවුන් තවමත් නිවැරදි ප්‍රොමිතියස් ගින්න දිලිසෙනවා; ඒවා පොත්, කලා, ශාස්ත්‍රාල, මුළු ලෝකයම පෙන්වන, අඩංගු වන සහ පෝෂණය කරයි."""
6236,ඔබ ඔහුව දන්නවා?,ඔහු ගැන අසා ඇත.
