,Question,Answer
3337,"Guys, hurry up! The flight leaves in four hours! It could take time to get a taxi! There could be traffic! The plane could leave early! When we get to London, there could be a line at customs! Come on!!",Six-hour trip to London. That's a lot of Monica.
3338,What do you got there?,"Condoms, dude!"
3339,How come the writing is in Spanish?,Don't read my condoms!
3340,"It's all London, baby! Here we go.",You got your passport?
3341,Ohh!!,There it is.
3342,"Yeah, okay, give that a try!",All right! Let's do it!
3343,London baby!,"Okay, 'cause that's not gonna get annoying."
3344,London baby!!,"Hey, y'know what? I was wrong."
3345,"Oh, hey, Chandler I wanna hug you too!",Hey!
3346,"Oh, and great! You might as well bring me my book, it's on the counter in your apartment.",Oh.
3347,Fine. You'll-you'll watch it on video when we get back.,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.
3348,Come on! Do something!,"I am, I'm ignoring you."
3349,"Okay, here! I wanna be the on camera guy. All right, first stop, Westminster Abbey.","Oh, what the hell is that?"
3350,"It's London, baby! All right, the hotel's here. Wait. No, we wanna go... No. I know. I'm gonna have to go into the map.","Okay, if you see a little version of me in there? Kill it!"
3351,I got it! Here we go.,"Okay. Listen-listen, we're not gonna have to walk this way the entire time are we?"
3352,"All right! Westminster Abbey! Hands down, best Abbey I've ever seen. Hey! Okay. What do you think of the Abbey, Chandler?","I think it's great. It's great. Y'know, they're thinking of changing the name of this place."
3353,Really? To what?,To Put the Camera Away!!!
3354,Check this out? Huh? Yeah. That's the stuff. What do you think?,"""Well, I don't have to buy that, """"I'm with stupid"""" T-shirt anymore."""
3355,"Well, I like it. Here you go.","All right, look, you're not really gonna buy that are you? Don't you think you've embarrassed me enough for one day?"
3356,"Oh, I embarrass you?",How can I answer that when I'm pretending I don't know you?
3357,He's just jealous. You'll fit right in; all Londoners wear them!,Oh really? Then how come no one here is wearing them?
3358,They're all tourists.,"All right, look, if you insist on wearing that, in public, y'know, you're gonna spend the rest of the afternoon all by yourself."
3359,Thanks.,"Okay, wait. All right, that's it, okay, I'm out of here. I am not going to be embarrassed anymore!"
3360,,"Well, this is just as boring in England."
3361,Hey.,Hey.
3362,Oh. Sorry!,"No-no-no, y'know what? I really shouldn't have said that you were embarrassing me, I mean that really wasn't cool. And if it makes you feel any better, I've had a really lousy day."
3363,Me too.,Yeah?
3364,Hi Chandler!,That's... That's was...
3365,"Yeah, ummm, I don't like the hat that much.",How did you? How? How?
3366,Umm...,I'm gonna go to the bathroom.
3367,Come on.,That was pretty intense huh?
3368,"Yeah. Hey, I hope Ross didn't think that we just went in there because we were uncomfortable being out here!",I hope he did!
3369,"That's not food...No, I don't, no... Everything's different here...I want to go home. I...I miss my family. I miss the coffee house. I can't even remember what Phoebe looks like.","Joey, it's been three days, okay.. Your just a little homesick, Okay. Would you just try to relax. Just, just try to enjoy yourself."
3370,,"I'd like to toast, Ross and Emily. Of course, my big toast will be tomorrow at the wedding, so this is kind of my little toast or Melba toast, if you will. Okay. I known Ross for a long time. In fact, I knew him when he was going out with his first girlfriend. And I thought things were going to work out for him.. Until the day he over inflated her. Ohh, Dear God.."
3371,"Ohh! Okay, I'm going to have to kick her ass too.","And I'm sure we're all very excited that Ross and Emily are getting married at Montgomery Hall. I mean to think, my friend getting married in Monty Hall. Ohh, come on!! Monty Hall!! Lets make a Deal!! Come on, you people!! All right, forget it!! Congratulations, Ross and Emily."
3372,I was laughing.,Out loud?
3373,Well I didn't want everyone to think I was stupid.,So how are you doing?
3374,,"The guy was hammered, okay? There's no way, you look like Ross's mother."
3375,Then why would he say it?,Because he's crazy. Okay? He came up to me earlier and thanked me for my very moving performance in Titanic.
3376,"Oh, my mother's right. I'm never going to get married.","Ahh, you know what? That is....Who wouldn't want you?"
3377,I'm getting married today!! Whoo-hoo!!,"Morning, Ross."
3378,"I'm getting married, to..day!!",Yeah you are!!
3379,,Well I've-I've never done that with you before.
3380,Nope.,"So, ahh, how are ya? How ya...How ya... You okay?"
3381,"Yep, yep...You?","Yes...Yes..Uh-huh, You? We did you."
3382,Well...I'd better get going.,"Oh yea yea, absolutely."
3383,Could you not look?,I don't want to look.
3384,Hey.,Hey.
3385,Have you seen Monica?,I'm not seeing Monica.
3386,What?,What?
3387,Look we've got to find her. Phoebe just called!! Rachel's coming to tell Ross she loves him!!,Oh my god!
3388,I know! That's why we got to find Monica!! You know where she is?,No!! Okay!! What's with the third degree?! Why don't you just shine a light in my eyes?!
3389,I do. I do. I do.,"Oh yea, your right. It's the second one."
3390,,What we did last night was....
3391,Stupid.,Totally crazy stupid.
3392,What were we thinking?,"I'm coming over tonight though, right?"
3393,"Well, that went well. Yeah.","It could've been worse, he could've shot her."
3394,,Hey.
3395,Hey.,"Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship."
3396,I know. How could we have let this happen?,Seven times!
3397,"Ugh! Well, y'know, we were away...","In a foreign, romantic country..."
3398,I blame London.,Bad London!
3399,"So look umm, while we're st-still in London, I mean, we can keep doing it right?","Well, I don't see that we have a choice. But, when we're back home, we don't do it."
3400,Only here.,"Y'know, I saw a wine cellar downstairs..."
3401,I'll meet you there in two minutes.,Okay!
3402,Where were you? We were supposed to meet in the wine cellar?,"Forget it, that's off."
3403,That's true.,The man's got a point.
3404,,"""Listen, in the middle of everything if I scream the word, """"Yippee!"""" just ignore me."""
3405,"Oh my God, Rachel! Hi!","Oh, hello Rachel."
3406,"If anybody asks, I'm your sister, Joan. Listen. C'mon, you guys. Ross said my name up there that obviously means that he still loves me!",Your sister Joan is crazy.
3407,"Y'know what? Fine, I don't care. Don't believe me, I know I'm right-do you guys want to go downstairs and get a drink?","Yes, we do. But, we have to change first."
3408,"Yes, I want to change. And why-why don't you go down and get us a table?","Yeah, we'll be down in like five minutes."
3409,"Hello? Oh, Pheebs! It's Phoebe!","Oh, yay..."
3410,"Okay, Pheebs, y'know what, let's look at this objectively all right? Ninth grade, right? The obsession starts. All right? The summer after ninth grade he sees me in a two-piece for the first time, his obsession begins to grow. So then...","Hey, listen, why don't we go change in my room?"
3411,,"Wow, you look..."
3412,"Hey, dude, let me in. I got a girl out here!","Well, I've got a girl in here."
3413,"No you don't, I just saw you go in there with Monica!","Well, we're-we're hanging out in here!"
3414,"Look, which one of us is gonna be having sex in there, me or you?","Well, I suppose I'd have to say you!! But, what if we're watching a movie in here?"
3415,You really think this is okay?,"Well, Ross and Emily aren't gonna use it."
3416,"Oh, it's so beautiful. Ohh! Y'know, I-I don't know if I feel right about this.","Oh Mon-Mon-Mon-Mon-look, this is the honeymoon suite. The room expects sex. The room would be disappointed if it didn't get sex. All of the other honeymoon suites would think it was a loser."
3417,Okay!,Okay!
3418,Emily?!,"Nope, not under here!"
3419,"No, I've looked everywhere!","Well, you couldn't have looked everywhere or else you would've found her!"
3420,"Yeah, I think you should keep looking!","Yeah, for about 30 minutes."
3421,Or 45.,"Wow, in 45 minutes you can find her twice."
3422,"Well, it's getting late.","Yeah, we're gonna go."
3423,"Ugh, y'know, umm we gotta get up early and catch that plane for New York.","Yeah, it's a very large plane."
3424,That's cool.,"But, we'll stay here with you."
3425,,We have to leave for New York in an hour.
3426,"I know, I've been looking at those doors, they look pretty sound proof, don't you think?","We can't do that that's insane. I mean 'A' he could wake up and 'B' y'know, let's go for it."
3427,"Y'know, maybe it's best that we never got to do it again.","Yeah, it kinda makes that-that one night special. Y'know, technically we still are over international waters."
3428,"I'm gonna go to the bathroom, maybe I'll see you there in a bit?",'Kay!
3429,Can I ask you something?,"Uhh, no."
3430,"""Felicity and I, we're watching My Giant, and I was thinking, """"I'm never gonna be as good an actor as that giant."""" Do you think I'm just wasting my life with this acting thing?""",No.
3431,"I mean, the giant is like five years younger than me, y'know, you think I'll ever get there?",Yes.
3432,Thanks man.,Okay man.
3433,Hey!,Hey!
3434,You ate meat! You had sex!,No we didn't!
3435,"Well, we certainly are alone.","Yes! Good thing we have that, 'Not in New York' rule."
3436,"Right. Umm, listen since we're-we-re on that subject, umm, I just wanted to tell you that uh, well, I-I was going through a really hard time in London, what with my brother getting married and that guy thinking I was Ross's mother...",Right.
3437,"Well, an-anyway, I just-that night meant a lot to me, I guess I'm just trying to say thanks.","Oh. Y'know, that night meant a lot to me too, and it wasn't because I was in a bad place or anything, it just meant a lot to me 'cause, you're really hot! Is that okay?"
3438,That's okay.,And I'm cute too.
3439,And you're cute too.,"Thank you! All right, I gotta go unpack."
3440,Okay.,Bye.
3441,,"I'm still on London time, does that count?"
3442,That counts!,"Oh, good!"
3443,"Well, that went well. Yeah.","It could've been worse, he could've shot her."
3444,,Hey.
3445,Hey.,"Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship."
3446,I know. How could we have let this happen?,Seven times!
3447,"Ugh! Well, y'know, we were away...","In a foreign, romantic country..."
3448,I blame London.,Bad London!
3449,"So look umm, while we're st-still in London, I mean, we can keep doing it right?","Well, I don't see that we have a choice. But, when we're back home, we don't do it."
3450,Only here.,"Y'know, I saw a wine cellar downstairs..."
3451,I'll meet you there in two minutes.,Okay!
3452,Where were you? We were supposed to meet in the wine cellar?,"Forget it, that's off."
3453,That's true.,The man's got a point.
3454,,"""Listen, in the middle of everything if I scream the word, """"Yippee!"""" just ignore me."""
3455,"Oh my God, Rachel! Hi!","Oh, hello Rachel."
3456,"Ross said my name. Okay? My name. Ross said my name up there that obviously means that he still loves me! Okay, don't believe me, I know I'm right-do you guys want to go downstairs and get a drink?","Yes, we do. But, we have to change first."
3457,"Yes, I want to change. And why-why don't you go down and get us a table?","Yeah, we'll be down in like five minutes."
3458,"Hello? Oh, Pheebs! It's Phoebe!","Oh, yay..."
3459,"Okay, Pheebs, y'know what, let's look at this objectively all right? Ninth grade, right? The obsession starts. All right? The summer after ninth grade he sees me in a two-piece for the first time, his obsession begins to grow. So then...","Hey, listen, why don't we go change in my room?"
3460,,"Wow, you look..."
3461,"Hey, dude, let me in. I got a girl out here!","Well, I've got a girl in here."
3462,"No you don't, I just saw you go in there with Monica!","Well, we're-we're hanging out in here!"
3463,"Look, which one of us is gonna be having sex in there, me or you?","Well, I suppose I'd have to say you!! But, what if we're watching a movie in here?"
3464,You really think this is okay?,"Well, Ross and Emily aren't gonna use it."
3465,"Oh, it's so beautiful. Ohh! Y'know, I-I don't know if I feel right about this.","Oh Mon-Mon-Mon-Mon-look, this is the honeymoon suite. The room expects sex. The room would be disappointed if it didn't get sex. All of the other honeymoon suites would think it was a loser."
3466,Okay!,Okay!
3467,Emily?!,"Nope, not under here!"
3468,"No, I've looked everywhere!","Well, you couldn't have looked everywhere or else you would've found her!"
3469,"Yeah, I think you should keep looking!","Yeah, for about 30 minutes."
3470,Or 45.,"Wow, in 45 minutes you can find her twice."
3471,"Well, it's getting late.","Yeah, we're gonna go."
3472,"Ugh, y'know, umm we gotta get up early and catch that plane for New York.","Yeah, it's a very large plane."
3473,That's cool.,"But, we'll stay here with you."
3474,,We have to leave for New York in an hour.
3475,"I know, I've been looking at those doors, they look pretty sound proof, don't you think?","We can't do that that's insane. I mean 'A' he could wake up and 'B' y'know, let's go for it."
3476,"Y'know, maybe it's best that we never got to do it again.","Yeah, it kinda makes that-that one night special. Y'know, technically we still are over international waters."
3477,"I'm gonna go to the bathroom, maybe I'll see you there in a bit?",'Kay!
3478,Can I ask you something?,"Uhh, no."
3479,"""Felicity and I, we're watching My Giant, and I was thinking, """"I'm never gonna be as good an actor as that giant."""" Do you think I'm just wasting my life with this acting thing?""",No.
3480,"I mean, the giant is like five years younger than me, y'know, you think I'll ever get there?",Yes.
3481,Thanks man.,Okay man.
3482,Hey!,Hey!
3483,You ate meat! You had sex!,No we didn't!
3484,"Well, we certainly are alone.","Yes! Good thing we have that, 'Not in New York' rule."
3485,"Right. Umm, listen since we're-we-re on that subject, umm, I just wanted to tell you that uh, well, I-I was going through a really hard time in London, what with my brother getting married and that guy thinking I was Ross's mother...",Right.
3486,"Well, an-anyway, I just-that night meant a lot to me, I guess I'm just trying to say thanks.","Oh. Y'know, that night meant a lot to me too, and it wasn't because I was in a bad place or anything, it just meant a lot to me 'cause, you're really hot! Is that okay?"
3487,That's okay.,And I'm cute too.
3488,And you're cute too.,"Thank you! All right, I gotta go unpack."
3489,Okay.,Bye.
3490,,"I'm still on London time, does that count?"
3491,That counts!,"Oh, good!"
3492,You look cute in bubbles.,"Ehh, you're just liquored up."
3493,,"I've had a very long, hard day."
3494,"Ahh, I'm gonna go get some chicken. Want some?","Ahh, no thanks. No chicken, bye-bye then."
3495,You sure? Some extra crispy? Dirty rice? Beans?,"For the last time no! Get out! Get out, Joey!"
3496,,"Are you okay? I'm so sorry, he wouldn't leave. He kept asking me about chicken."
3497,Chicken? I could eat some chicken.,Hey Joe!
3498,,"Yeah, can I get a 3-piece, some cole slaw, some beans, and a Coke-(Yelps in"
3499,Hey!,"Hey, Pheebs!"
3500,"Wait, what that place, that pub he took us too?","Uh, The Wheatsheaf."
3501,Bodington's! Woohoo!,"Ooh! Ahh, Pheebs, was gonna tell a story."
3502,"No, not since I lost her at the airport.",I can't believe she can out run you man!
3503,"Ohh, I gotta go to the flower store! Check it out, no one will tell me where Emily is, so I'm gonna send 72 long-stem, red roses to Emily's parent's house, one for each day that I've known and loved her. That oughta get her talking to me again.","Oh, Ross, when you make out card; be sure to make it out to, EM-I-LY."
3504,"""What?! I didn't have a good time in Greece! Ross abandoned me! Okay, I couldn't get a plane out, so I had to stay in their honeymoon suite with people coming up to me all the time going, """"Oh, Mrs. Geller, why are you crying?"""" I mean, it was sooo humiliating. I felt like such an idiot! I mean, it's all my fault! And you know why, because I make very bad decisions.""",Oh that's not true.
3505,"That's fine. So Monica, you are now in control of my love life.","Okay, I gotta go to work."
3506,,"And uh, Rachel, glad to have you back."
3507,,Pheebs! Always a pleasure.
3508,"Oh! Here we all are! Yeah, there's Ross and Joey and you and me.","All right, y'know what, we've been talking about London too much haven't we?"
3509,What took you so long?,"I got caught up and work, but I'm quitting tomorrow."
3510,,"So, thanks for having me over! Rach. Pheebs."
3511,"""That sucks! That's not a trip! I just came from the park! What are we gonna high five about at the stupid Central Park? """"Well, it's right by my house, all right!""""""","Well, I'm gonna go home and bask in the triumph of my Central Park idea."
3512,"Hey-whoa-whoa-whoa!! Ho-ho-hold on a sec there, Mr. Kissey! Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I just-y'know-stop it!",I was just trying to bring a little culture to the group.
3513,Phoebe!,"Hey, Pheebs!"
3514,"Okay, woo! Hi.","Okay, Pheebs, we decided the picnic idea was a little... Y'know, it didn't have any... It-it, well it blew. So, we thought, that this afternoon that we would all go away for the whole weekend to, Atlantic City!"
3515,"Okay, let's go!",Atlantic City!
3516,Whoa-whoa-whoa-whoa! Wait-wait!,Pheebs! We have to take you to the hospital now!
3517,I can't believe Phoebe's gonna have her babies!,"I know, it's beautiful. Amazing."
3518,,"Y'know what else I can't believe? I had to kiss Phoebe and Rachel every time I left a room, I mean it's too bad they didn't see us having sex."
3519,Do you know anything about women?,No.
3520,That's all right.,Okay.
3521,"Well, we-we had to go back because I forget my jacket.",That's right.
3522,I'm having my first contraction!,Oh no.
3523,"Ooh, it's not bad.",Okay.
3524,"Oh! And so the miracle of life begins, and aaiiyyyeeee!",Hey! You okay?
3525,"Hi! Phoebe, I'm Dr. Harad, I'm going to be delivering your babies. I want you to know, you're gonna be in good hands. I've been doing this for a long time. I'll be back in a minute to do your internal, in the meantime, just relax because everything here looks great. And also, I love Fonzie.","Did he just say, he loves Fonzie?"
3526,That's what it sounded like.,All right...
3527,"Uh, Delaware. She's on her way though, so until she gets here, I'm gonna be your coach. But don't worry, she told me all about the la-Mazada stuff.","Yeah, that's when if you get the babies out by the end of the month, they give you 2% financing."
3528,"Oh, a couple of nurses asked them out. Maybe they're with them.",Really? Male nurses?
3529,"Yeah, I was bummed too.",So they're going on dates? When?
3530,"Let's see what we got here. Ohh, y'know, Fonzie dated triplets.","This-this Fonzie person you keep referring too, is that uh, is that another doctor?"
3531,Oh no-no-no. Fonzie is the nickname of Arthur Fonzerelli. The Fonz.,All right.
3532,,Oh-hey-hey-hey! There you are!
3533,"Umm, listen there's something I think you should know.","Oh, is this about you-you dating the nurse? Yeah, Joey already told me, and I am so-so fine. I mean, you and I we're just, y'know, we're nothing, we're goofin' around."
3534,"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I will go out with him.",Fine! Maybe I will too!
3535,"Hello Dan! I'm really looking forward to Saturday night! Really, really!","So Dan, nurse not a doctor huh? Kinda girlie isn't it?"
3536,Nah that's okay. I'm just doing this to put myself through medical school.,Oh.
3537,And it didn't feel so girlie during the Gulf War.,"Sure. And listen, thanks for doing that for us, by the way."
3538,"Oh, great!","Hey, how 'bout it? You, me, Saturday night?"
3539,No.,All right. Very good.
3540,"Uh, bye Monica.","Bye, momi-moo."
3541,YESSSSS!!!!! We got a baby boy!!,Yes!
3542,Chandler's a girl!,"Oh God, kindergarten flashback."
3543,"They musta read the sonogram wrong. 'Cause they, 'cause they thought it was a boy, but Chandler's a girl! Chandler's a girl!","Okay, keep saying it!"
3544,,"So, are you really gonna go out with that nurse man?"
3545,"Well uh, you and I are just goofing around, I thought, why not goof around with him.","Y'know, I don't know if you've ever looked up the term goofing around in the dictionary... Well, I have, and the technical definition is, two friends who care a lot about each other and have amazing sex and just wanna spend more time together. But if you have this new fangled dictionary that gets you made at me, then we have to, y'know, get you my original dictionary. I am so bad at this."
3546,I think you're better than you think you are.,"Really? Okay, so..."
3547,Know when to stop.,"Y'know, I sensed that I should stop. So we're okay?"
3548,"Yeah. All right, I'm gonna go tell Dan that it's not gonna happen. Don't do the dance.",Right!
3549,Yeah. You won't be able to take it.,"So uh, now that little Chandler turned out to be a girl, what are they gonna name her?"
3550,They're gonna call her Chandler.,"That's kind of a masculine name, don't you think?"
3551,Ross! Way to suck up to the family.,Ha-ha-ha--enh-enh. I'm so glad you guys are all here! My office finally got wrinkle free fax paper!
3552,Hey!,"Oh no-no-no-no-no-no, vomit tux! No-no, vomit tux!"
3553,"Okay, 'cause right after my mom killed herself, I was just in this really bad place, y'know personally. So, I just thought that it'd make me feel better if I wrote to Sesame Street, 'cause they were so nice when I was a little kid! No one ever wrote back.",Well y'know a lot of those Muppets don't have thumbs.
3554,"So Chandler, have you heard about Monica's secret boyfriend?","Uhh, yeah. She uh, she uh, she uh might've mentioned him."
3555,"Ohh, he's really shy. I-I don't think he's up to meeting everyone yet.","Yeah, I don't think he's up to meeting everyone yet."
3556,,Really?! That's what you heard? You said that?
3557,I might've said that. Why is that funny?,"Because I'm very happy for him! And you, you lucky dog!"
3558,"Well, Emily's willing to work on the relationship.",Yes!
3559,I will find a selfless good deed! 'Cause I just gave birth to three children and I will not let them be raised in a world where Joey is right!,"Hey, Monica? Can I ask you a cooking question?"
3560,Sure!,"If you're cooking on the stove, does that mean that your new secret boyfriend is better in bed than Richard?"
3561,"Well, y'know I-I-I think I'm gonna respect the privacy of my new secret boyfriend.","Why?! I mean if this guy was me and it was me who had learned that it was me who was the best you'd ever had, I'd be going like this."
3562,"So I asked Emily if she would come to New York, and she said yes.",Yes!
3563,"I told her I'd have to think about it. I mean, how the hell am I supposed to make this kind of a decision? I'm actually asking you!","Well, you can't just not see Rachel anymore, she's one of your best friends."
3564,Yeah.,That's true!
3565,"Yeah, but you've known Rachel since High School and you cannot just cut her out of your life.",That's true!
3566,"Oh, uh, okay, how, how about now?","Hey, there he is! There he is!"
3567,,"How many times have I told you guys, you never watch the cooking channel!"
3568,Hi Chandler.,Hey!
3569,"Uh, listen, I need that broiling pan that Joey borrowed the other day.","Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars."
3570,"William Sonoma, fall catalog, Page 27.","Expect it in 4-6 weeks. Umm, hey, umm, Joey's gonna be at the telethon for the rest of the day, we have the whole place to ourselves."
3571,"Yeah, so?","Well I just, thought maybe you'd wanna book some time with the best you'd ever had."
3572,"Y'know what, champ? I think I'll pass.",Why?
3573,Why?,What's your point?
3574,,"Look, maybe I got carried away before. But there's something you gotta know. If I'm the best, it's only because you've made me the best."
3575,Keep talking.,"I mean I was nothing before you. Call the other girls and ask. Which wouldn't take long. But when I'm with you, and we're together, OH...MY...GOD."
3576,Really?,"Oh-aw my God! Now, I understand if you never want to sleep with me again, but that would be wrong. We're too good! We owe it, to sex!"
3577,"Well, if we owe it? Oh my... When is Joey gonna be home?","Well, I was kinda hoping we could do this without him. Oh no-no-no, leave the gloves on."
3578,"But, I just cleaned the bathroom.","Yeah, why don't we lose the gloves."
3579,,"All right, let's show them how it's done."
3580,Ow!,Y'know that wasn't part of it?
3581,Never done that before.,Nope.
3582,Hi!,Hi!
3583,Monica? What time is it?,"Uhh, 9."
3584,I'm really getting tired of sneaking around.,"I know, me too. Hey! Y'know what if we went away for a whole weekend? Y'know we'd have no interruptions and we could be naked the entire time."
3585,All weekend? That's a whole lotta naked.,"Yeah, I can say that I have a conference and you can say you have a chef thing."
3586,"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!","Okay, y'know your not though. Let's go."
3587,"Oh now that-that-that's funny, it seems like Chandler's conference could've been in Connecticut or Vermont.",I'm not in charge of where the conference is held. Do you want people to think it's a fake conference? It's a real conference.
3588,Damn!,What's going on?
3589,Hi!,"Uh, hey!"
3590,What's going on?,We're flipping Monica's mattress.
3591,"Oh okay, hey guys, would you flip mine too?","Aww, man!"
3592,Can you hear anything?,"""Oh yes, somebody just said, """"Can you hear anything?"""""""
3593,"Ooh, Madlibs, mine!",Condoms?
3594,You don't know how long we're gonna be in here! We may have to repopulate the Earth.,And condoms are the way to do that?
3595,,I can't believe it! We're here!
3596,"Ooh, chocolates on the pillows! I love that!","Oh, you should live with Joey, Roll-os everywhere."
3597,,"Oh yes! Monica, get in here! There's a high-speed car chase on!"
3598,We're switching rooms.,"Oh dear God, they gave us glasses!"
3599,"No, they gave us glasses with lipstick on them! I mean, if they didn't change the glasses, who knows what else they didn't change. Come on sweetie, I just want this weekend to be perfect, I mean we can change rooms, can't we?","Okay, but let's do it now though, because Chopper 5 just lost it's feed!"
3600,I think you'll find this room more to your liking.,"Okay, great."
3601,They say he's only got half a tank left.,Half a tank? We still got a lot of high-speed chasing to do!
3602,We're switching rooms again.,What? Why?
3603,"Excuse me, umm, can I talk to you over here for just a second?",Uh-huh.
3604,Chandler!,Yeah.
3605,"Look, these clowns are trying to take us for a ride and I'm not gonna let 'em! And we're not a couple of suckers!","I hear ya, Mugsy! But look, all these rooms are fine okay? Can you just pick one so I can watch--have a perfect, magical weekend together with you."
3606,"Okay, this one I like!",Nothing! It's over! Dammit! This is regularly scheduled programming!
3607,Can we turn the TV off? Okay? Do we really want to spend the entire weekend like this?,"Oh, I'm sorry, am I getting in the way of all the room switching fun?"
3608,"Hey, don't blame me for wigging tonight!","Oh, who should I blame? The nice bell man who had to drag out luggage to 10 different rooms?"
3609,"I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!",Do not speak ill of the dead.
3610,"We're supposed to uh, be spending a romantic weekend together, it-it, what is the matter with you?","I just want to watch a little television. What is the big deal? Geez, relax mom."
3611,What did you say?,"""I said, """"Geez, relax Monnnnn."""""""
3612,,Damn Rollos!
3613,"Hey, you're back!",Hey.
3614,How was your conference?,"It was terrible. I fought with my colleagues y'know, the entire time. Are you kidding with this?"
3615,"Oh, so your weekend was a total bust?","Uh, no, I got to see Donald Trump waiting for an elevator."
3616,"Oh, it was awful. I guess some people just don't appreciate really good food.","Well, maybe it was the kind of food that tasted good at first but then made everybody vomit and have diarrhea."
3617,Chandler!,Monica.
3618,"Okay, I'd like to know how much the room was because I'd like to pay my half.","Okay, fine, $300."
3619,300 dollars?!,"Yeah, just think of it as $25 per room!"
3620,"Man, if anyone asked me to give up any of you, I couldn't do it.","Yeah, me either."
3621,"Hi, Rach.",Hi!
3622,Oh no! Not that guy! He does look like him though.,"Okay, Ross is in the bathroom."
3623,Who cares? You're Rachel! Who's Kip?,"Kip, my old roommate, y'know we all used to hang out together."
3624,,Hey!
3625,"Hey, Mr. Bing. That uh, hotel you stayed at called. Said someone left an eyelash curler in your room.",Yes that was mine.
3626,'Cause I figured you'd hooked up with some girl and she'd left it there.,Yes that would have made more sense.
3627,,Hey!
3628,Hi.,"I just came over to drop off...nothing. So that weekend kinda sucked, huh?"
3629,"Yeah, it did.","So, I guess this is over."
3630,What?,"Well, y'know, you and me, it had to end sometime."
3631,"Why, exactly?","Because of the weekend, we had a fight."
3632,Chandler that's crazy! If you give up every time you'd have a fight with someone you'd never be with anyone longer than-Ohhh!,"So, this isn't over?"
3633,"You are so cute! No. No, it was a fight. You deal with it and move on! It's nothing to freak out about.",Really? Okay. Great!
3634,"Ohh, welcome to an adult relationship!",We're in a relationship?
3635,I'm afraid so.,Okay.
3636,Oh! Ohh! Oh!!,"Joey, can I talk to you for a second?"
3637,Ohhhhhhhhhhh!!!!!!!,Yes. Yes.
3638,How?! When?!,It happened in London.
3639,IN LONDON!!!,The reason we didn't tell anyone was because we didn't want to make a big deal out of it.
3640,,No-no-no-no-no! You can't!
3641,I guess I'm done.,Fun's over!
3642,"Look, just because I know about you two, doesn't mean I like looking at it.",Aren't you supposed to be at an audition for another hour?
3643,"Well, I'm sorry if I'm not a middle-aged black woman! And I'm also sorry if sometimes I go to the wrong audition! Okay, look, if I have to pretend I don't know about you two, then you two are gonna have to pretend there's nothing to know about.",Okay.
3644,Sorry.,Sorry.
3645,Hey!,Hello!
3646,"Yeah! Why would my mother send me a fur? Doesn't she know me but at all! Plus, I have a perfectly fine coat that no innocent animal suffered to make!","Yeah, just some 9-year-old Filipino kids who worked their fingers bloody for 12 cents an hour. That didn't happen, I made that up!"
3647,"Look, if I can just do what Emily wants and get her to New York, I'm sure everything will be fine.","Okay, but don't you think this is a little extreme?"
3648,"Oh, I hate this. Everything's changing.","Yeah I know, we're losing Ross, Joey said hence..."
3649,"Ooh-ooh-ooh, yeah! Enh? All right, what do you think?",You're on in 5 Ms. Minnelli.
3650,That's way uptown! That's like three trains away! Which is great! I love to ride that rail!,So you're really okay with this?
3651,"Yes! Yes! I mean it's-it's kinda far from work, but uh, y'know, I'll get so much done on the commute. I-I've been given the gift of time!","Now that's so funny, because last Christmas I got the gift of space. We should get them together and make a continuum."
3652,I know I miss you too. I can't wait to see you. I love you. Bye.,"Okay, what is in here? Rocks?"
3653,"No-no, this is my collection of fossil samples.","So, rocks."
3654,Yeah!,"Look, we just think that maybe she's being a little unreasonable."
3655,,Kind of? If you just kept this to yourself none of this would've happened.
3656,"Well, I'm keeping so many things to myself these days, something was bound to slip out!","Well, I think it's very brave what you said."
3657,"All right, I can't sit here anymore. I have to walk places.","Pheebs, what are you doing with the coat? How about the whole animal rights thing?"
3658,,"Uh, Ross?"
3659,"Look, Ross, I feel really bad. I mean, you're going through all this stuff and I just acted like a jerk.","Yeah, we are so sorry."
3660,Hi Emily!,Hi!
3661,She's there?!,"Oh yeah, there-there she is!"
3662,,Are you looking at naked tribe's women?
3663,"No, look.",That's a pig.
3664,,Hey!
3665,Emily's cousin kicked me out!,What?!
3666,"Well, when you're subletting an apartment from your wife's cousin and then you get a divorce, sometimes the cousin suddenly wants his apartment back.",How can he do that? Didn't you sign a lease?
3667,"Hey, you can stay with us! We'll take care of ya!","Oh, yeah! Absolutely! Anything you need man! But you have to promise me the second you are feeling better so that we can make fun of your hair!"
3668,What?,He thought you said gonad.
3669,Hey roomies!,Love what you've done with the place.
3670,"Not a problem. And listen, hey! Since you're gonna be here for a while, why don't-I was thinking we uh, put your name on the answering machine.",Oh yeah!
3671,"You're fake laughing too, right?","Oh, the tears are real."
